scenario,calibration,exit_mode,replication,seed,survival_rate,mean_welfare
baseline,low,exogenous,44,356779,1.0,68.9156
baseline,low,exogenous,45,291370,1.0,75.3077
baseline,low,exogenous,46,163033,1.0,80.144
baseline,low,exogenous,47,225773,1.0,73.8711
baseline,low,exogenous,48,800582,1.0,77.1429
baseline,low,exogenous,49,352945,1.0,80.5559
baseline,low,exogenous,50,107176,1.0,77.2528
baseline,low,exogenous,51,97252,1.0,74.3578
baseline,low,exogenous,52,398383,1.0,77.6121
baseline,low,exogenous,53,101415,1.0,73.5765
baseline,low,exogenous,54,376418,1.0,80.3655
baseline,low,exogenous,55,888663,1.0,80.6539
baseline,low,exogenous,56,360664,1.0,72.5495
baseline,low,exogenous,57,633053,1.0,70.1402
baseline,low,exogenous,58,277371,1.0,74.4629
baseline,low,exogenous,59,846336,1.0,78.3939
baseline,low,exogenous,60,45562,1.0,78.7758
baseline,low,exogenous,61,765180,1.0,73.5833
baseline,low,exogenous,62,481742,1.0,77.0589
baseline,low,exogenous,63,562276,1.0,73.1608
baseline,low,exogenous,64,130890,1.0,78.263
baseline,low,exogenous,65,967097,1.0,78.3136
baseline,low,exogenous,66,396923,1.0,73.0687
baseline,low,exogenous,67,82628,1.0,74.4517
baseline,low,exogenous,68,578857,1.0,74.7383
baseline,low,exogenous,69,307420,1.0,75.5894
baseline,low,exogenous,70,869694,1.0,77.7689
baseline,low,exogenous,71,659177,1.0,73.0021
baseline,low,exogenous,72,648565,1.0,77.0643
baseline,low,exogenous,73,928464,1.0,76.2112
baseline,low,exogenous,74,903566,1.0,81.3578
baseline,low,exogenous,75,379202,1.0,84.1183
baseline,low,exogenous,76,605398,1.0,72.5369
baseline,low,exogenous,77,201630,1.0,72.3573
baseline,low,exogenous,78,738798,1.0,73.9436
baseline,low,exogenous,79,72934,1.0,77.1527
baseline,low,exogenous,80,48051,1.0,78.7669
baseline,low,exogenous,81,693385,1.0,70.2327
baseline,low,exogenous,82,238969,1.0,83.5589
baseline,low,exogenous,83,810621,1.0,78.063
baseline,low,exogenous,84,303446,1.0,76.7806
baseline,low,exogenous,85,83668,1.0,80.3826
baseline,low,exogenous,86,896866,1.0,70.702
baseline,low,exogenous,87,244099,1.0,74.5107
baseline,low,exogenous,88,908574,1.0,75.2426
baseline,low,exogenous,89,105908,1.0,78.1834
baseline,low,exogenous,90,398592,1.0,77.9106
baseline,low,exogenous,91,291477,1.0,76.0764
baseline,low,exogenous,92,475436,1.0,79.7243
baseline,low,exogenous,93,666564,1.0,79.7096
baseline,low,exogenous,94,874629,1.0,82.8972
baseline,low,exogenous,95,382555,1.0,76.3638
baseline,low,exogenous,96,170556,1.0,78.5922
baseline,low,exogenous,97,388163,1.0,71.9843
baseline,low,exogenous,98,372529,1.0,78.9609
baseline,low,exogenous,99,219685,1.0,74.1454
baseline,low,exogenous,100,702730,1.0,76.7951
baseline,low,exogenous,101,279947,1.0,76.0038
baseline,low,exogenous,102,735912,1.0,76.3068
baseline,low,exogenous,103,982154,1.0,81.2377
baseline,low,exogenous,104,716752,1.0,75.7289
baseline,low,exogenous,105,679515,1.0,76.5881
baseline,low,exogenous,106,74871,1.0,81.0792
baseline,low,exogenous,107,638721,1.0,81.6204
baseline,low,exogenous,108,665823,1.0,73.2877
baseline,low,exogenous,109,179452,1.0,76.6602
baseline,low,exogenous,110,560087,1.0,80.1184
baseline,low,exogenous,111,764545,1.0,69.4678
baseline,low,exogenous,112,256703,1.0,75.0714
baseline,low,exogenous,113,171340,1.0,78.2234
baseline,low,exogenous,114,484715,1.0,78.8517
baseline,low,exogenous,115,397888,1.0,78.1441
baseline,low,exogenous,116,283061,1.0,79.1009
baseline,low,exogenous,117,970343,1.0,77.4276
baseline,low,exogenous,118,671089,1.0,74.7848
baseline,low,exogenous,119,721591,1.0,73.3478
baseline,low,exogenous,120,584005,1.0,78.8854
baseline,low,exogenous,121,230284,1.0,73.8947
baseline,low,exogenous,122,717871,1.0,81.878
baseline,low,exogenous,123,340036,1.0,73.8688
baseline,low,exogenous,124,883795,1.0,76.2007
baseline,low,exogenous,125,805636,1.0,81.5286
baseline,low,exogenous,126,813695,1.0,75.6699
baseline,low,exogenous,127,58656,1.0,78.3807
baseline,low,exogenous,128,240175,1.0,79.304
baseline,low,exogenous,129,861723,1.0,75.5693
baseline,low,exogenous,130,33660,1.0,78.7104
baseline,low,exogenous,131,844152,1.0,77.1015
baseline,low,exogenous,132,330777,1.0,75.8906
baseline,low,exogenous,133,420652,1.0,79.1551
baseline,low,exogenous,134,280747,1.0,78.7298
baseline,low,exogenous,135,69404,1.0,81.5627
baseline,low,exogenous,136,221232,1.0,75.7617
baseline,low,exogenous,137,957493,1.0,78.0627
baseline,low,exogenous,138,988713,1.0,77.1313
baseline,low,exogenous,139,594732,1.0,78.9861
baseline,low,exogenous,140,918939,1.0,81.8969
baseline,low,exogenous,141,752788,1.0,77.9831
baseline,low,exogenous,142,329964,1.0,72.0207
baseline,low,exogenous,143,222956,1.0,80.0061
baseline,low,exogenous,144,687278,1.0,79.0461
baseline,low,exogenous,145,523482,1.0,76.0338
baseline,low,exogenous,146,414851,1.0,78.5805
baseline,low,exogenous,147,927658,1.0,71.8049
baseline,low,exogenous,148,958973,1.0,77.2353
baseline,low,exogenous,149,674080,1.0,78.3452
baseline,low,exogenous,150,481142,1.0,77.9333
baseline,low,exogenous,151,149812,1.0,73.7292
baseline,low,exogenous,152,277747,1.0,73.3263
baseline,low,exogenous,153,146414,1.0,76.9096
baseline,low,exogenous,154,258608,1.0,78.9068
baseline,low,exogenous,155,781178,1.0,70.9066
baseline,low,exogenous,156,588638,1.0,81.9232
baseline,low,exogenous,157,565159,1.0,78.9538
baseline,low,exogenous,158,275505,1.0,78.9241
baseline,low,exogenous,159,783301,1.0,79.4292
baseline,low,exogenous,160,612983,1.0,74.7508
baseline,low,exogenous,161,449246,1.0,80.5214
baseline,low,exogenous,162,941436,1.0,75.0732
baseline,low,exogenous,163,611879,1.0,76.0767
baseline,low,exogenous,164,418802,1.0,77.8216
baseline,low,exogenous,165,379581,1.0,76.5696
baseline,low,exogenous,166,229975,1.0,83.5103
baseline,low,exogenous,167,145052,1.0,73.2381
baseline,low,exogenous,168,534278,1.0,78.4775
baseline,low,exogenous,169,517489,1.0,82.9242
baseline,low,exogenous,170,95326,1.0,77.8234
baseline,low,exogenous,171,792496,1.0,70.308
baseline,low,exogenous,172,49406,1.0,76.9758
baseline,low,exogenous,173,902932,1.0,73.9181
baseline,low,exogenous,174,114976,1.0,77.8384
