scenario,calibration,exit_mode,replication,seed,survival_rate,mean_welfare
baseline,mid,exogenous,3,777573,1.0,25.4486
baseline,mid,exogenous,4,288390,1.0,20.0884
baseline,mid,exogenous,5,256788,1.0,41.8585
baseline,mid,exogenous,6,234054,1.0,24.7636
baseline,mid,exogenous,7,146317,1.0,26.8679
baseline,mid,exogenous,8,772247,1.0,27.9872
baseline,mid,exogenous,9,107474,1.0,38.8234
baseline,mid,exogenous,10,709571,1.0,43.3789
baseline,mid,exogenous,11,776647,1.0,34.2512
baseline,mid,exogenous,12,935519,1.0,29.7381
baseline,mid,exogenous,13,571859,1.0,31.8515
baseline,mid,exogenous,14,91162,1.0,30.4099
baseline,mid,exogenous,15,619177,1.0,19.1828
baseline,mid,exogenous,16,442418,1.0,18.2165
baseline,mid,exogenous,17,33327,1.0,48.187
baseline,mid,exogenous,18,31245,1.0,32.4212
baseline,mid,exogenous,19,98247,1.0,30.4052
baseline,mid,exogenous,20,229259,1.0,38.5404
baseline,mid,exogenous,21,243963,1.0,36.2341
baseline,mid,exogenous,22,529904,1.0,40.8116
baseline,mid,exogenous,23,631263,1.0,35.7
baseline,mid,exogenous,24,27825,1.0,25.4153
baseline,mid,exogenous,25,588509,1.0,27.0809
baseline,mid,exogenous,26,208497,1.0,24.3065
baseline,mid,exogenous,27,750801,1.0,26.1509
baseline,mid,exogenous,28,681454,1.0,33.523
baseline,mid,exogenous,29,735393,1.0,28.012
baseline,mid,exogenous,30,571413,1.0,32.8492
baseline,mid,exogenous,31,439899,1.0,39.1875
baseline,mid,exogenous,32,231149,1.0,13.0605
baseline,mid,exogenous,33,471030,1.0,29.0726
baseline,mid,exogenous,34,617890,1.0,31.8797
baseline,mid,exogenous,35,291705,1.0,45.3832
baseline,mid,exogenous,36,848750,1.0,27.7144
baseline,mid,exogenous,37,911528,1.0,28.609
baseline,mid,exogenous,38,6815,1.0,29.8861
baseline,mid,exogenous,39,795668,1.0,28.4134
baseline,mid,exogenous,40,844963,1.0,31.9996
baseline,mid,exogenous,41,167415,1.0,34.1726
baseline,mid,exogenous,42,732053,1.0,34.7933
baseline,mid,exogenous,43,443144,1.0,25.6527
baseline,mid,exogenous,44,356779,1.0,14.458
baseline,mid,exogenous,45,291370,1.0,24.6734
baseline,mid,exogenous,46,163033,1.0,37.4934
baseline,mid,exogenous,47,225773,1.0,23.8742
baseline,mid,exogenous,48,800582,1.0,29.5273
baseline,mid,exogenous,49,352945,1.0,35.4045
baseline,mid,exogenous,50,107176,1.0,28.7922
baseline,mid,exogenous,51,97252,1.0,23.3122
baseline,mid,exogenous,52,398383,1.0,29.7461
baseline,mid,exogenous,53,101415,1.0,22.0651
baseline,mid,exogenous,54,376418,1.0,37.815
