scenario,exit_mode,replication,seed,survival_rate,mean_welfare,survival_new,survival_mid,survival_exp
baseline,endogenous,115,397888,0.7667,26.0467,0.8571,0.75,0.7143
baseline,endogenous,116,283061,0.4333,22.4195,0.6,0.4375,0.3333
baseline,endogenous,117,970343,0.5667,24.1774,0.5556,0.5385,0.625
baseline,endogenous,118,671089,0.5667,18.0412,0.625,0.5833,0.5
baseline,endogenous,119,721591,0.3,19.9297,0.3571,0.3333,0.1429
baseline,endogenous,120,584005,0.8,28.1024,1.0,0.7857,0.625
baseline,endogenous,121,230284,0.5667,16.2929,0.5,0.7,0.5
baseline,endogenous,122,717871,0.6333,27.5455,0.5714,0.7647,0.3333
baseline,endogenous,123,340036,0.7667,23.9072,0.8,0.8,0.7
baseline,endogenous,124,883795,0.8333,26.7683,0.8571,0.8182,0.8333
baseline,endogenous,125,805636,0.9333,35.222,1.0,0.9091,0.875
baseline,endogenous,126,813695,0.6333,24.9347,0.625,0.5,0.875
baseline,endogenous,127,58656,0.2333,19.5186,0.1667,0.3571,0.1
baseline,endogenous,128,240175,0.4667,26.916,0.4286,0.4,0.5455
baseline,endogenous,129,861723,0.6333,22.9072,0.5,0.6667,0.6667
baseline,endogenous,130,33660,0.9333,30.6748,0.8889,0.875,1.0
baseline,endogenous,131,844152,0.7,23.86,0.75,0.6,0.75
baseline,endogenous,132,330777,0.5333,22.7771,0.1429,0.6667,0.625
baseline,endogenous,133,420652,0.5333,28.3314,0.5556,0.5833,0.4444
baseline,endogenous,134,280747,0.8333,31.0628,0.8,0.8182,0.8889
baseline,endogenous,135,69404,0.8333,35.6487,0.75,0.8571,1.0
baseline,endogenous,136,221232,0.7667,22.1768,0.5714,0.8125,0.8571
baseline,endogenous,137,957493,0.5667,20.2256,0.6154,0.6667,0.375
baseline,endogenous,138,988713,0.8333,27.2539,1.0,0.6667,0.8
baseline,endogenous,139,594732,0.9667,34.0341,0.875,1.0,1.0
baseline,endogenous,140,918939,0.6667,30.4456,0.5,0.7273,0.7273
baseline,endogenous,141,752788,0.8667,34.9646,0.7778,0.9091,0.9
baseline,endogenous,142,329964,0.8,20.1899,0.75,0.8889,0.7778
baseline,endogenous,143,222956,0.7333,30.0675,0.7,0.9,0.6
baseline,endogenous,144,687278,0.5667,22.5231,0.625,0.7692,0.2222
baseline,endogenous,145,523482,0.9333,27.5255,0.9167,1.0,0.8571
baseline,endogenous,146,414851,0.4,18.2624,0.5,0.3636,0.2857
baseline,endogenous,147,927658,0.7667,16.5022,0.9,0.6667,0.75
baseline,endogenous,148,958973,0.9667,27.2273,1.0,0.9286,1.0
baseline,endogenous,149,674080,0.8333,29.677,0.9,0.7692,0.8571
baseline,endogenous,150,481142,0.8,27.9104,0.8462,0.7143,0.8
baseline,endogenous,151,149812,0.9667,23.5166,0.875,1.0,1.0
baseline,endogenous,152,277747,0.4,17.4397,0.4,0.2857,0.6667
baseline,endogenous,153,146414,0.6,21.4067,0.5455,0.6364,0.625
baseline,endogenous,154,258608,1.0,34.8287,1.0,1.0,1.0
baseline,endogenous,155,781178,0.8667,18.1108,0.7333,1.0,1.0
baseline,endogenous,156,588638,0.9,36.5851,0.5714,1.0,1.0
baseline,endogenous,157,565159,0.8333,27.1675,0.875,1.0,0.5714
baseline,endogenous,158,275505,0.8333,33.4778,0.8333,0.8667,0.7778
baseline,endogenous,159,783301,0.6,26.8069,0.5,0.625,0.6
baseline,endogenous,160,612983,0.8333,25.9938,0.8,0.8333,0.8571
baseline,endogenous,161,449246,0.8667,35.3627,0.8571,0.8182,0.9167
baseline,endogenous,162,941436,0.7333,21.0238,0.8889,0.6,0.8333
baseline,endogenous,163,611879,0.8,26.0907,0.8182,0.7273,0.875
baseline,endogenous,164,418802,0.7333,26.9552,1.0,0.6,0.7778
baseline,endogenous,165,379581,0.7667,26.5331,1.0,0.6667,0.75
baseline,endogenous,166,229975,0.9333,38.0202,0.8889,1.0,0.875
baseline,endogenous,167,145052,0.9,21.2198,1.0,0.875,0.8571
baseline,endogenous,168,534278,0.8667,29.9812,1.0,0.8421,0.75
baseline,endogenous,169,517489,0.7,35.6211,0.7143,0.6154,0.8
baseline,endogenous,170,95326,0.6667,27.9974,0.4444,0.7778,0.75
baseline,endogenous,171,792496,0.9,15.3595,0.9,0.9333,0.8
baseline,endogenous,172,49406,0.7333,25.5255,0.6667,0.8235,0.5
baseline,endogenous,173,902932,0.9,22.0047,0.75,1.0,1.0
baseline,endogenous,174,114976,0.7333,23.8496,0.7778,0.8182,0.6
baseline,endogenous,175,160266,0.9,27.0854,0.8889,0.9333,0.8333
baseline,endogenous,176,657925,0.5,24.8333,0.4286,0.6364,0.4167
baseline,endogenous,177,167754,0.9667,33.3221,1.0,1.0,0.9167
baseline,endogenous,178,830556,0.9333,32.8792,1.0,0.9286,0.9091
baseline,endogenous,179,713537,0.6667,17.229,1.0,0.5,0.5833
baseline,endogenous,180,442667,0.8333,30.2136,0.8182,1.0,0.7692
baseline,endogenous,181,625381,0.6667,24.7478,0.8571,0.5882,0.6667
baseline,endogenous,182,66614,0.5667,24.5046,0.75,0.7333,0.2727
baseline,endogenous,183,403458,0.9,24.1817,1.0,0.8,1.0
baseline,endogenous,184,400157,1.0,23.4511,1.0,1.0,1.0
baseline,endogenous,185,624835,0.7333,24.5295,0.7143,0.8333,0.7
baseline,endogenous,186,490786,0.6333,23.3887,0.5,0.6,0.8571
baseline,endogenous,187,554817,0.5667,27.4382,0.7,0.3333,0.6364
baseline,endogenous,188,263627,0.8,24.7866,1.0,0.8,0.5714
baseline,endogenous,189,580100,0.4667,13.1583,0.6667,0.4167,0.3333
baseline,endogenous,190,902593,0.8,24.0152,0.6667,0.8,0.8889
baseline,endogenous,191,988211,0.6,27.0679,0.8333,0.6429,0.4
baseline,endogenous,192,12039,0.8667,26.8079,0.8889,0.9167,0.7778
baseline,endogenous,193,713329,1.0,34.3368,1.0,1.0,1.0
baseline,endogenous,194,755732,0.7,30.687,1.0,0.5,0.75
baseline,endogenous,195,120117,0.7333,26.3527,0.8889,0.6,0.7273
baseline,endogenous,196,714826,0.6,25.4787,0.5,0.7857,0.375
baseline,endogenous,197,927768,0.3667,23.3909,0.4286,0.4,0.3077
baseline,endogenous,198,563055,0.3333,18.6151,0.6,0.25,0.3333
baseline,endogenous,199,787353,0.6,15.4835,0.6667,0.375,0.7
baseline,exogenous,0,670488,1.0,27.524,1.0,1.0,1.0
baseline,exogenous,1,116740,1.0,24.7505,1.0,1.0,1.0
baseline,exogenous,2,26226,1.0,19.4132,1.0,1.0,1.0
baseline,exogenous,3,777573,1.0,25.4486,1.0,1.0,1.0
baseline,exogenous,4,288390,1.0,20.0884,1.0,1.0,1.0
baseline,exogenous,5,256788,1.0,41.8585,1.0,1.0,1.0
baseline,exogenous,6,234054,1.0,24.7636,1.0,1.0,1.0
baseline,exogenous,7,146317,1.0,26.8679,1.0,1.0,1.0
baseline,exogenous,8,772247,1.0,27.9872,1.0,1.0,1.0
baseline,exogenous,9,107474,1.0,38.8234,1.0,1.0,1.0
baseline,exogenous,10,709571,1.0,43.3789,1.0,1.0,1.0
baseline,exogenous,11,776647,1.0,34.2512,1.0,1.0,1.0
baseline,exogenous,12,935519,1.0,29.7381,1.0,1.0,1.0
baseline,exogenous,13,571859,1.0,31.8515,1.0,1.0,1.0
baseline,exogenous,14,91162,1.0,30.4099,1.0,1.0,1.0
baseline,exogenous,15,619177,1.0,19.1828,1.0,1.0,1.0
baseline,exogenous,16,442418,1.0,18.2165,1.0,1.0,1.0
baseline,exogenous,17,33327,1.0,48.187,1.0,1.0,1.0
baseline,exogenous,18,31245,1.0,32.4212,1.0,1.0,1.0
baseline,exogenous,19,98247,1.0,30.4052,1.0,1.0,1.0
baseline,exogenous,20,229259,1.0,38.5404,1.0,1.0,1.0
baseline,exogenous,21,243963,1.0,36.2341,1.0,1.0,1.0
baseline,exogenous,22,529904,1.0,40.8116,1.0,1.0,1.0
baseline,exogenous,23,631263,1.0,35.7,1.0,1.0,1.0
baseline,exogenous,24,27825,1.0,25.4153,1.0,1.0,1.0
baseline,exogenous,25,588509,1.0,27.0809,1.0,1.0,1.0
baseline,exogenous,26,208497,1.0,24.3065,1.0,1.0,1.0
baseline,exogenous,27,750801,1.0,26.1509,1.0,1.0,1.0
baseline,exogenous,28,681454,1.0,33.523,1.0,1.0,1.0
baseline,exogenous,29,735393,1.0,28.012,1.0,1.0,1.0
baseline,exogenous,30,571413,1.0,32.8492,1.0,1.0,1.0
baseline,exogenous,31,439899,1.0,39.1875,1.0,1.0,1.0
baseline,exogenous,32,231149,1.0,13.0605,1.0,1.0,1.0
baseline,exogenous,33,471030,1.0,29.0726,1.0,1.0,1.0
baseline,exogenous,34,617890,1.0,31.8797,1.0,1.0,1.0
baseline,exogenous,35,291705,1.0,45.3832,1.0,1.0,1.0
baseline,exogenous,36,848750,1.0,27.7144,1.0,1.0,1.0
baseline,exogenous,37,911528,1.0,28.609,1.0,1.0,1.0
baseline,exogenous,38,6815,1.0,29.8861,1.0,1.0,1.0
baseline,exogenous,39,795668,1.0,28.4134,1.0,1.0,1.0
baseline,exogenous,40,844963,1.0,31.9996,1.0,1.0,1.0
baseline,exogenous,41,167415,1.0,34.1726,1.0,1.0,1.0
baseline,exogenous,42,732053,1.0,34.7933,1.0,1.0,1.0
baseline,exogenous,43,443144,1.0,25.6527,1.0,1.0,1.0
baseline,exogenous,44,356779,1.0,14.458,1.0,1.0,1.0
baseline,exogenous,45,291370,1.0,24.6734,1.0,1.0,1.0
baseline,exogenous,46,163033,1.0,37.4934,1.0,1.0,1.0
baseline,exogenous,47,225773,1.0,23.8742,1.0,1.0,1.0
baseline,exogenous,48,800582,1.0,29.5273,1.0,1.0,1.0
baseline,exogenous,49,352945,1.0,35.4045,1.0,1.0,1.0
baseline,exogenous,50,107176,1.0,28.7922,1.0,1.0,1.0
baseline,exogenous,51,97252,1.0,23.3122,1.0,1.0,1.0
baseline,exogenous,52,398383,1.0,29.7461,1.0,1.0,1.0
baseline,exogenous,53,101415,1.0,22.0651,1.0,1.0,1.0
baseline,exogenous,54,376418,1.0,37.815,1.0,1.0,1.0
baseline,exogenous,55,888663,1.0,35.9538,1.0,1.0,1.0
baseline,exogenous,56,360664,1.0,21.8276,1.0,1.0,1.0
baseline,exogenous,57,633053,1.0,18.0351,1.0,1.0,1.0
baseline,exogenous,58,277371,1.0,23.3834,1.0,1.0,1.0
baseline,exogenous,59,846336,1.0,35.2989,1.0,1.0,1.0
baseline,exogenous,60,45562,1.0,33.2095,1.0,1.0,1.0
baseline,exogenous,61,765180,1.0,23.5731,1.0,1.0,1.0
baseline,exogenous,62,481742,1.0,28.2654,1.0,1.0,1.0
baseline,exogenous,63,562276,1.0,20.813,1.0,1.0,1.0
baseline,exogenous,64,130890,1.0,33.3482,1.0,1.0,1.0
baseline,exogenous,65,967097,1.0,32.9848,1.0,1.0,1.0
baseline,exogenous,66,396923,1.0,21.1917,1.0,1.0,1.0
baseline,exogenous,67,82628,1.0,25.1575,1.0,1.0,1.0
baseline,exogenous,68,578857,1.0,23.6762,1.0,1.0,1.0
baseline,exogenous,69,307420,1.0,26.7855,1.0,1.0,1.0
baseline,exogenous,70,869694,1.0,31.831,1.0,1.0,1.0
baseline,exogenous,71,659177,1.0,22.4484,1.0,1.0,1.0
baseline,exogenous,72,648565,1.0,29.5356,1.0,1.0,1.0
baseline,exogenous,73,928464,1.0,26.916,1.0,1.0,1.0
baseline,exogenous,74,903566,1.0,37.6187,1.0,1.0,1.0
baseline,exogenous,75,379202,1.0,40.1181,1.0,1.0,1.0
baseline,exogenous,76,605398,1.0,22.731,1.0,1.0,1.0
baseline,exogenous,77,201630,1.0,19.4541,1.0,1.0,1.0
baseline,exogenous,78,738798,1.0,19.9875,1.0,1.0,1.0
baseline,exogenous,79,72934,1.0,27.9709,1.0,1.0,1.0
baseline,exogenous,80,48051,1.0,34.1022,1.0,1.0,1.0
baseline,exogenous,81,693385,1.0,17.5549,1.0,1.0,1.0
baseline,exogenous,82,238969,1.0,41.2993,1.0,1.0,1.0
baseline,exogenous,83,810621,1.0,28.2968,1.0,1.0,1.0
baseline,exogenous,84,303446,1.0,28.6873,1.0,1.0,1.0
baseline,exogenous,85,83668,1.0,37.0839,1.0,1.0,1.0
baseline,exogenous,86,896866,1.0,18.3674,1.0,1.0,1.0
baseline,exogenous,87,244099,1.0,26.7852,1.0,1.0,1.0
baseline,exogenous,88,908574,1.0,26.6324,1.0,1.0,1.0
baseline,exogenous,89,105908,1.0,29.9206,1.0,1.0,1.0
baseline,exogenous,90,398592,1.0,32.074,1.0,1.0,1.0
baseline,exogenous,91,291477,1.0,27.5982,1.0,1.0,1.0
baseline,exogenous,92,475436,1.0,33.8301,1.0,1.0,1.0
baseline,exogenous,93,666564,1.0,35.5968,1.0,1.0,1.0
